lon,lat
-73.7481209,42.6618937
-73.7550145,42.6396173
-77.9257853,42.1258915
-73.9141952,40.84412030000001
-73.9240962,40.817374
-73.8435363,40.8408298
-73.91048839999999,40.8548497
-73.9201851,40.8362328
-73.84637239999999,40.8547222
-73.90448909999999,40.8519529
-73.8915975,40.8253369
-73.896374,40.846847
-73.8672756,40.8754301
-75.9167228,42.1052726
-74.99879,42.187447
-78.4500609,42.08635
-76.569684,42.930493
-78.8719606,42.9044287
-76.79501619999999,42.0906607
-75.5278233,42.5311511
-73.45342579999999,44.6987355
-73.78979489999999,42.2487797
-76.1808645,42.6028873
-74.99879,42.187447
-73.921379,41.703893
-78.8719606,42.9044287
-73.59765600000001,44.218881
-74.653818,44.9664553
-74.3394711,44.8564324
-74.37321299999999,42.952466
-78.1797332,42.99187550000001
-73.8564452,42.22334499999999
-74.2596849,43.776787
-74.9879526,43.0339626
-75.91520340000001,43.9765221
-73.9187007,40.6946783
-73.94714139999999,40.67968140000001
-73.8904185,40.6632172
-73.9704682,40.6459682
-73.9111125,40.6700492
-73.9650892,40.5854106
-73.89524829999999,40.6717668
-73.9450693,40.6566053
-74.0027547,40.6346511
-73.958897,40.6995878
-74.02106119999999,40.6467215
-73.9425033,40.6996897
-73.9178932,40.7019957
-73.98529119999999,40.6407065
-73.881126,40.6786003
-75.4991891,43.7958676
-77.8800365,42.7292806
-76.1808645,42.6028873
-75.66022869999999,43.1033667
-77.9503739,43.2204534
-77.60963199999999,43.1699019
-77.6994026,43.2108944
-77.280317,42.886745
-74.37321299999999,42.952466
-73.57427369999999,40.6528814
-73.59083559999999,40.6817743
-73.7054424,40.75782239999999
-73.6346815,40.73506649999999
-73.9363954,40.8024364
-73.9877319,40.7131072
-73.9396101,40.8142287
-73.9333185,40.8485167
-73.9437432,40.8018633
-73.9883747,40.7709481
-73.9530193,40.8112029
-73.9686316,40.7959946
-73.97533670000001,40.7389351
-79.05727379999999,43.0847664
-75.22333859999999,43.0931789
-76.1560524,43.04116579999999
-77.280317,42.886745
-73.921379,41.703893
-74.684876,41.3695598
-74.4228811,41.4438107
-74.02918269999999,41.4955354
-78.20252839999999,43.24122819999999
-76.4860308,43.4666687
-75.0710161,42.4478299
-73.6257954,41.4286204
-73.7979227,40.703881
-73.7998564,40.7045253
-73.8180678,40.7022273
-73.91641059999999,40.7427441
-73.883899,40.745241
-73.791738,40.5934632
-73.7054424,40.75782239999999
-73.7858518,40.6884064
-73.8585779,40.7441874
-73.6847281,42.7385664
-74.1055624,40.6361354
-74.08540649999999,40.5859742
-74.04053739999999,41.1575122
-75.17808099999999,44.5899141
-73.8511383,43.0020388
-73.9373399,42.8120836
-74.4739024,42.6805435
-76.79501619999999,42.0906607
-77.280317,42.886745
-77.31354429999999,42.3337199
-73.4067673,40.7061793
-73.0885789,40.90136589999999
-73.22458499999999,40.8215096
-74.7116676,41.795147
-76.2649254,42.1055261
-76.4622914,42.4860913
-74.0151511,41.9351917
-73.6993176,43.3594355
-73.5866637,43.28873859999999
-77.280317,42.886745
-73.7882796,40.9131674
-73.921379,41.703893
-73.8386806,40.903662
-73.862719,41.1615417
-73.7670038,41.0284035
-77.8800365,42.7292806
-77.280317,42.886745
